Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.9552086868001357,0.9579550024248212,0.9537910521485616,0.9549646738521326
SVM,0.9606379368849678,0.9625977152619556,0.9596344085132665,0.96051439461061
Decision Tree,0.8622327790973872,0.8624733067496783,0.8586831847358827,0.8594690854259567
Random Forest,0.9267051238547676,0.9279675806256898,0.9239292165054245,0.9251761564064584
XGBoost,0.9382422802850356,0.9397951764900595,0.9365225820607342,0.9374371968824292
